"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","year"
"38959",60,"admin.","married","unknown","unknown","yes","no","cellular","dec","wed",357,1,999,0,"nonexistent",-3,92.713,-33,0.721,5023.5,"yes",2010
"38960",38,"technician","married","university.degree","no","yes","yes","cellular","dec","wed",310,1,999,0,"nonexistent",-3,92.713,-33,0.721,5023.5,"yes",2010
"38961",76,"retired","married","university.degree","no","yes","no","cellular","dec","wed",258,1,999,0,"nonexistent",-3,92.713,-33,0.721,5023.5,"no",2010
"38962",54,"unemployed","married","high.school","no","yes","no","cellular","dec","wed",346,1,999,0,"nonexistent",-3,92.713,-33,0.721,5023.5,"yes",2010
"38963",38,"technician","married","university.degree","no","no","no","cellular","dec","wed",415,1,999,2,"failure",-3,92.713,-33,0.721,5023.5,"yes",2010
"38964",42,"blue-collar","married","basic.9y","no","yes","no","cellular","dec","wed",187,2,999,0,"nonexistent",-3,92.713,-33,0.721,5023.5,"no",2010
"38965",30,"technician","married","university.degree","no","yes","no","cellular","dec","thu",244,2,6,1,"success",-3,92.713,-33,0.72,5023.5,"yes",2010
"38966",55,"technician","married","high.school","no","yes","no","cellular","dec","thu",284,1,999,1,"failure",-3,92.713,-33,0.72,5023.5,"yes",2010
"38967",58,"unknown","married","basic.9y","no","yes","no","cellular","dec","thu",154,1,999,1,"failure",-3,92.713,-33,0.72,5023.5,"yes",2010
"38968",83,"retired","married","high.school","no","no","no","cellular","dec","thu",155,1,4,3,"success",-3,92.713,-33,0.72,5023.5,"yes",2010
"38969",83,"retired","married","high.school","no","yes","no","cellular","dec","thu",96,1,999,0,"nonexistent",-3,92.713,-33,0.72,5023.5,"no",2010
"38970",64,"admin.","married","university.degree","no","no","yes","cellular","dec","thu",1804,3,999,0,"nonexistent",-3,92.713,-33,0.72,5023.5,"no",2010
"38971",60,"retired","married","high.school","no","no","no","cellular","dec","thu",472,1,999,0,"nonexistent",-3,92.713,-33,0.72,5023.5,"yes",2010
"38972",64,"management","divorced","university.degree","no","no","yes","cellular","dec","thu",421,1,999,1,"failure",-3,92.713,-33,0.72,5023.5,"no",2010
"38973",40,"blue-collar","married","professional.course","no","no","no","telephone","dec","thu",237,1,999,0,"nonexistent",-3,92.713,-33,0.72,5023.5,"no",2010
"38974",53,"admin.","married","university.degree","no","no","no","cellular","dec","thu",110,1,6,1,"success",-3,92.713,-33,0.72,5023.5,"no",2010
"38975",48,"admin.","married","high.school","unknown","no","yes","cellular","dec","thu",274,1,8,1,"success",-3,92.713,-33,0.72,5023.5,"yes",2010
"38976",50,"admin.","single","high.school","no","yes","no","telephone","dec","fri",705,2,999,0,"nonexistent",-3,92.713,-33,0.718,5023.5,"yes",2010
"38977",60,"retired","married","university.degree","no","no","no","cellular","dec","fri",439,3,6,2,"success",-3,92.713,-33,0.718,5023.5,"yes",2010
"38978",23,"student","single","university.degree","no","yes","no","cellular","dec","fri",127,2,6,2,"success",-3,92.713,-33,0.718,5023.5,"no",2010
"38979",48,"management","married","university.degree","no","yes","no","cellular","dec","fri",377,5,999,1,"failure",-3,92.713,-33,0.718,5023.5,"no",2010
"38980",25,"admin.","single","university.degree","no","no","no","cellular","dec","fri",78,2,999,0,"nonexistent",-3,92.713,-33,0.718,5023.5,"no",2010
"38981",60,"retired","married","university.degree","no","yes","no","cellular","dec","fri",55,2,999,0,"nonexistent",-3,92.713,-33,0.718,5023.5,"no",2010
"38982",46,"admin.","married","university.degree","no","unknown","unknown","cellular","dec","fri",696,10,999,0,"nonexistent",-3,92.713,-33,0.718,5023.5,"yes",2010
"38983",25,"admin.","single","university.degree","no","no","no","cellular","dec","fri",1139,2,4,1,"success",-3,92.713,-33,0.718,5023.5,"no",2010
"38984",55,"admin.","married","high.school","no","no","no","cellular","dec","fri",254,2,999,0,"nonexistent",-3,92.713,-33,0.718,5023.5,"no",2010
"38985",80,"retired","divorced","basic.4y","no","no","yes","cellular","dec","fri",720,5,999,1,"failure",-3,92.713,-33,0.718,5023.5,"no",2010
"38986",48,"admin.","married","university.degree","no","no","no","cellular","dec","mon",85,2,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"no",2010
"38987",30,"student","single","unknown","no","no","no","cellular","dec","mon",69,1,999,1,"failure",-3,92.713,-33,0.717,5023.5,"no",2010
"38988",50,"technician","married","high.school","no","yes","no","cellular","dec","mon",229,1,999,1,"failure",-3,92.713,-33,0.717,5023.5,"yes",2010
"38989",49,"housemaid","single","university.degree","no","no","yes","cellular","dec","mon",334,3,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"no",2010
"38990",36,"admin.","single","high.school","no","unknown","unknown","cellular","dec","mon",480,1,999,1,"failure",-3,92.713,-33,0.717,5023.5,"yes",2010
"38991",54,"blue-collar","married","high.school","no","no","no","cellular","dec","mon",344,1,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"yes",2010
"38992",36,"technician","single","professional.course","no","no","no","cellular","dec","mon",371,1,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"no",2010
"38993",54,"technician","divorced","university.degree","no","unknown","unknown","cellular","dec","mon",164,1,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"no",2010
"38994",43,"admin.","married","high.school","no","no","yes","cellular","dec","mon",415,2,8,2,"failure",-3,92.713,-33,0.717,5023.5,"yes",2010
"38995",36,"admin.","single","high.school","no","yes","no","telephone","dec","mon",358,6,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"no",2010
"38996",47,"admin.","married","university.degree","no","no","no","telephone","dec","mon",91,2,999,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"no",2010
"38997",49,"housemaid","single","university.degree","no","yes","no","cellular","dec","mon",583,2,6,1,"success",-3,92.713,-33,0.717,5023.5,"yes",2010
